"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","YOB","Sale_preds_reg"
"90","FDB03",17.75,"Regular",0.262504325,"Dairy",242.2538,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,2034.32644422159
"91","FDN39",19.35,"Regular",0,"Meat",165.7816,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2799.57573150779
"92","FDX02",12.5,"Low Fat",0.056783774,"Dairy",223.1404,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4940.63111887651
"93","FDQ16",12.5,"Low Fat",0.041536279,"Frozen Foods",107.7912,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3163.81051321748
"94","FDU35",6.44,"Low Fat",0.079538056,"Breads",99.47,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1332.56201313221
"95","NCT29",12.6,"Low Fat",0.064057374,"Health and Hygiene",122.1414,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1979.64772059761
"96","FDZ27",7.935,"Low Fat",0.017156262,"Dairy",48.135,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,783.210242947423
"97","FDN57",18.25,"Low Fat",0.054540968,"Snack Foods",140.4154,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2508.56063689263
"98","FDA03",18.5,"Regular",0.045648973,"Dairy",145.6102,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2053.6795517563
"99","FDZ36",6.035,"Regular",0.065917194,"Baking Goods",185.724,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3097.71228875896
"100","NCU05",11.8,"Low Fat",0.058687359,"Health and Hygiene",81.1618,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1343.92056223751
"101","FDT39",6.26,"Regular",0.009908113,"Meat",151.1366,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2196.97344190189
"102","FDK60",16.5,"Regular",0.094395215,"Baking Goods",97.2068,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1880.66371380702
"103","FDZ25",15.7,"Regular",0.02777326,"Canned",169.279,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3048.43370871409
"104","FDG12",6.635,"Regular",0.006326106,"Baking Goods",122.1098,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2024.5992653466
"105","DRB01",12.5,"Low Fat",0.143990546,"Soft Drinks",191.553,"OUT019",1985,"Small","Tier 1","Grocery Store",34,1098.63801047773
"106","NCC43",12.5,"Low Fat",0.09233359,"Household",250.6066,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5359.3045735501
"107","FDX13",12.5,"Low Fat",0.083661793,"Canned",248.6092,"OUT019",1985,"Small","Tier 1","Grocery Store",34,2058.65238047883
"108","FDM22",14,"Regular",0.042022999,"Snack Foods",53.064,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1021.52839623884
"109","FDJ03",12.5,"Regular",0.072044336,"Dairy",48.8692,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2268.44375858788
"110","FDU14",17.75,"Low Fat",0,"Dairy",249.775,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3644.46667251586
"111","FDB33",17.75,"Low Fat",0.024404214,"Fruits and Vegetables",159.0262,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,838.534618547109
"112","FDP27",8.155,"Low Fat",0.119450639,"Meat",190.653,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3010.01076328181
"113","FDO38",17.25,"Low Fat",0.121917641,"Canned",76.6986,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,-476.918045728702
"114","FDE28",12.5,"Regular",0.131905128,"Frozen Foods",232.0668,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5114.97360435153
"115","FDO27",6.175,"Regular",0.179043614,"Meat",95.3752,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1697.96533356931
"116","DRL23",12.5,"Low Fat",0.0152302,"Hard Drinks",107.0938,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3188.29974534666
"117","FDS28",8.18,"Regular",0.082401592,"Frozen Foods",55.9588,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,943.292513282169
"118","FDX24",8.355,"Low Fat",0.013917468,"Baking Goods",92.5462,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1547.285104596
"119","FDZ02",6.905,"Regular",0.038140213,"Dairy",96.3726,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1716.0624762741
"120","FDL46",20.35,"Low Fat",0.054166556,"Snack Foods",116.9466,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1967.82673005786
"121","FDS60",12.5,"Low Fat",0.03229139,"Baking Goods",178.766,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4298.95727417457
"122","NCO06",19.25,"Low Fat",0.108641498,"Household",33.0558,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,792.482675903586
"123","FDO16",5.48,"Low Fat",0.015105338,"Frozen Foods",84.625,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1510.0141036025
"124","FDC60",5.425,"Regular",0.114650377,"Baking Goods",87.3514,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1548.41830107293
"125","FDA48",12.1,"Low Fat",0.115342009,"Baking Goods",220.2114,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3193.33566140099
"126","FDZ36",12.5,"Regular",0,"Baking Goods",186.424,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4472.72413618638
"127","FDK27",11,"Low Fat",0.00896468,"Meat",120.6756,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2054.3390546329
"128","FDW23",5.765,"Low Fat",0.082346376,"Baking Goods",38.8164,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,383.537251392724
"129","FDM14",13.8,"Low Fat",0.013318,"Canned",110.1254,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1535.72168807983
"130","FDM14",13.8,"Low Fat",0.01325293,"Canned",108.2254,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1814.06939231804
"131","FDW60",5.44,"Regular",0.017131453,"Baking Goods",177.837,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2611.96650477058
"132","FDE21",12.8,"Low Fat",0.022925594,"Fruits and Vegetables",116.4492,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1944.17591468438
"133","NCM42",6.13,"Low Fat",0.028316137,"Household",109.3912,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1879.46404626843
"134","FDY59",8.195,"Low Fat",0.052562923,"Baking Goods",93.9462,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,-208.00775924659
"135","DRI49",14.15,"Low Fat",0.1837926,"Soft Drinks",81.3276,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1356.14596310653
"136","FDT28",12.5,"Low Fat",0.111296158,"Frozen Foods",151.2708,"OUT019",1985,"Small","Tier 1","Grocery Store",34,482.273429982384
"137","FDQ22",16.75,"Low Fat",0.029860799,"Snack Foods",39.5822,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,394.809352873034
"138","FDR60",14.3,"Low Fat",0.130617879,"Baking Goods",76.5328,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1325.99463494726
"139","FDC50",12.5,"Low Fat",0.238990225,"Canned",94.7094,"OUT019",1985,"Small","Tier 1","Grocery Store",34,-384.064802208675
"140","FDV24",5.635,"Low Fat",0.103186396,"Baking Goods",151.805,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2443.58457610904
"141","DRF48",5.73,"Low Fat",0,"Soft Drinks",188.3898,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,1250.89522820397
"142","FDQ47",7.155,"Regular",0.168186376,"Breads",36.5874,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,648.332809375855
"143","DRN36",15.2,"Low Fat",0.050255855,"Soft Drinks",97.3752,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1646.24457549152
"144","NCY06",15.25,"Low Fat",0.061173235,"Household",128.5968,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2163.7193712097
"145","FDE52",10.395,"Regular",0.029881147,"Dairy",89.5514,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1610.67530434548
"146","NCB54",8.76,"Low Fat",0.050154219,"Health and Hygiene",126.9336,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2130.75042371934
"147","NCF31",9.13,"Low Fat",0.051837621,"Household",152.6024,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2543.25926513753
"148","FDJ08",12.5,"Low Fat",0.11013617,"Fruits and Vegetables",189.7846,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4476.49114527261
"149","NCC07",19.6,"Low Fat",0.024086626,"Household",106.0964,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1954.93321991214
"150","NCD19",12.5,"Low Fat",0.013115567,"Household",53.7614,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2320.0134701872
"151","FDL46",20.35,"Low Fat",0,"Snack Foods",118.9466,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2011.84089452759
"152","FDM20",10,"Low Fat",0.038764258,"Fruits and Vegetables",246.2144,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,4030.63024500343
"153","NCI06",11.3,"Low Fat",0.07986963,"Household",180.466,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,1089.2529733136
"154","DRM11",6.57,"Low Fat",0.066057085,"Hard Drinks",259.3278,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,4240.09351542403
"155","NCH07",13.15,"Low Fat",0.093044518,"Household",158.4604,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2199.24702518667
"156","FDS23",4.635,"Low Fat",0.140771867,"Breads",129.4994,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2089.97774597725
"157","FDO49",10.6,"Regular",0.033186809,"Breakfast",49.1008,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,607.732556002153
"158","FDS35",9.3,"Low Fat",0.11139344,"Breads",65.2826,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1163.84648162908
"159","DRK39",7.02,"Low Fat",0.049966527,"Dairy",82.525,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1409.85740892774
"160","DRI39",13.8,"Low Fat",0.097212998,"Dairy",58.293,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1011.16534272453
"161","FDV04",7.825,"Regular",0.150863781,"Frozen Foods",158.0288,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2786.60456517519
"162","NCN14",19.1,"Low Fat",0.091900406,"Others",182.5608,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,3009.87717871513
"163","FDH08",7.51,"Low Fat",0.017414576,"Fruits and Vegetables",231.101,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,3732.87167984514
"164","FDS20",8.85,"Low Fat",0.053866912,"Fruits and Vegetables",183.0292,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2942.21075484989
"165","FDV40",17.35,"Low Fat",0.014714625,"Frozen Foods",75.4038,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1314.64434070447
"166","FDZ48",17.75,"Low Fat",0.127140836,"Baking Goods",110.5544,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,22.8343765904699
"167","FDS24",12.5,"Regular",0.061923154,"Baking Goods",87.5514,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2914.99664984966
"168","FDK44",16.6,"Low Fat",0.122417514,"Fruits and Vegetables",174.3738,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2879.94307396303
"169","FDS48",15.15,"Low Fat",0,"Baking Goods",150.4708,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2519.95206329023
"170","FDK26",5.46,"Regular",0.053858378,"Canned",186.924,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,1310.00397238284
"171","FDD23",9.5,"Regular",0.048784266,"Starchy Foods",188.5898,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3170.30253584281
"172","NCH54",13.5,"Low Fat",0.073080167,"Household",161.492,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2805.1373349889
"173","NCP14",8.275,"Low Fat",0.184602443,"Household",106.5306,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,-91.9542607050755
"174","FDM60",10.8,"Regular",0.080582001,"Baking Goods",39.4138,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,-1021.89308994987
"175","FDV24",5.635,"Low Fat",0.103856487,"Baking Goods",151.305,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2680.47403457049
"176","FDH08",7.51,"Low Fat",0.017500079,"Fruits and Vegetables",228.801,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3389.15232094049
"177","FDS12",12.5,"Low Fat",0.173275373,"Baking Goods",127.6362,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3460.05994786503
"178","FDR39",12.5,"Low Fat",0.083393481,"Meat",180.6292,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4311.06432105429
"179","FDP12",12.5,"Regular",0.0450476,"Baking Goods",36.4874,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2125.44341311927
"180","DRF60",12.5,"Low Fat",0.051816577,"Soft Drinks",236.4564,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5162.55740555239
"181","FDC09",15.5,"Regular",0.026297031,"Fruits and Vegetables",102.7332,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1885.66885415024
"182","FDF50",4.905,"Low Fat",0.117808305,"Canned",198.5768,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2884.79821503771
"183","FDG28",9.285,"Regular",0.049270974,"Frozen Foods",243.9144,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,4021.39311095353
"184","NCE19",8.97,"Low Fat",0.093540749,"Household",55.4956,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1151.51103633154
